0.2402 	0.6006 	0.3595 	0.6480 
0.1111 	0.9807 	0.6551 	0.0250 
0.1987 	0.1369 	0.4327 	0.3395 
0.0943 	0.9271 	0.1492 	0.3762 
0.5907 	0.3943 	0.2486 	0.7173 
0.0037 	0.5821 	0.8575 	0.4476 
0.7725 	0.3107 	0.8030 	0.5571 
0.9984 	0.0847 	0.7619 	0.6980 
0.4562 	0.8135 	0.9017 	0.4680 
0.7025 	0.1677 	0.6254 	0.8747 
0.6259 	0.8580 	0.0223 	0.5211 
0.2784 	0.4240 	0.9674 	0.8060 
0.4190 	0.4809 	0.1513 	0.2908 
0.3885 	0.6690 	0.2548 	0.9399 
0.9150 	0.5198 	0.0987 	0.2434 
0.6510 	0.0232 	0.7213 	0.1089 
0.8418 	0.7635 	0.5135 	0.0632 
0.3185 	0.2312 	0.3424 	0.1553 
0.5179 	0.7439 	0.5975 	0.7920 
0.8682 	0.2817 	0.4733 	0.9789 
