0.9569 	0.4627 	0.5573 	0.1739 	0.5594 	0.6286 	0.0948 	0.8257 	0.5011 
0.7552 	0.3441 	0.4801 	0.9801 	0.9931 	0.6522 	0.8265 	0.7581 	0.8453 
0.1405 	0.0745 	0.4442 	0.5760 	0.6059 	0.0638 	0.2890 	0.0929 	0.6169 
0.8170 	0.8916 	0.0960 	0.8503 	0.4538 	0.3210 	0.2039 	0.3134 	0.3699 
0.8529 	0.5084 	0.5320 	0.4198 	0.8994 	0.5230 	0.3340 	0.1154 	0.7763 
0.9012 	0.5536 	0.7586 	0.6028 	0.4311 	0.2147 	0.7071 	0.3983 	0.1322 
0.6946 	0.6415 	0.9893 	0.0255 	0.1916 	0.4497 	0.3870 	0.8756 	0.7262 
0.6411 	0.6558 	0.1604 	0.9281 	0.9230 	0.1609 	0.4061 	0.5514 	0.6664 
0.1627 	0.8306 	0.3673 	0.6614 	0.2949 	0.8037 	0.7906 	0.6944 	0.4020 
0.4475 	0.4309 	0.2987 	0.1128 	0.5480 	0.2996 	0.5620 	0.6128 	0.2955 
0.5964 	0.1364 	0.3107 	0.7279 	0.7033 	0.7088 	0.9484 	0.7181 	0.2101 
0.0755 	0.3566 	0.1039 	0.3973 	0.6514 	0.4616 	0.1179 	0.9203 	0.1705 
0.3575 	0.7629 	0.0254 	0.0956 	0.0820 	0.7501 	0.5217 	0.5251 	0.3044 
0.5001 	0.1776 	0.6083 	0.2101 	0.0178 	0.9886 	0.6812 	0.2216 	0.8949 
0.2498 	0.2645 	0.2434 	0.3172 	0.1466 	0.5540 	0.6394 	0.4287 	0.0353 
0.7229 	0.9028 	0.8120 	0.2984 	0.8396 	0.9179 	0.8604 	0.1962 	0.9474 
0.0069 	0.7413 	0.6537 	0.7721 	0.3980 	0.1447 	0.1927 	0.9855 	0.0748 
0.2545 	0.2378 	0.8584 	0.8140 	0.3265 	0.8866 	0.4755 	0.0219 	0.9616 
0.4577 	0.9680 	0.9370 	0.4945 	0.2425 	0.0118 	0.0494 	0.2683 	0.4859 
0.3061 	0.0096 	0.7393 	0.5392 	0.7504 	0.3597 	0.9907 	0.4535 	0.5887 
