0.0885 	0.1855 	0.9629 	0.0190 	0.4507 	0.6627 	0.7560 
0.3532 	0.6299 	0.6121 	0.3370 	0.9720 	0.3669 	0.8778 
0.7658 	0.2069 	0.6805 	0.7777 	0.6533 	0.1238 	0.3622 
0.5019 	0.2693 	0.8785 	0.1078 	0.8640 	0.8870 	0.1198 
0.3281 	0.0504 	0.0022 	0.7402 	0.2758 	0.4519 	0.3108 
0.2030 	0.7898 	0.9214 	0.6848 	0.4180 	0.9730 	0.5443 
0.4497 	0.4586 	0.5575 	0.8758 	0.0556 	0.9485 	0.4011 
0.9195 	0.5162 	0.0862 	0.9331 	0.7401 	0.2152 	0.9076 
0.1099 	0.7376 	0.8189 	0.2101 	0.5802 	0.4240 	0.0975 
0.4884 	0.0262 	0.1706 	0.2506 	0.7504 	0.1970 	0.7267 
0.7034 	0.9800 	0.1018 	0.5420 	0.9299 	0.5055 	0.1837 
0.0118 	0.3700 	0.7457 	0.3882 	0.8171 	0.7835 	0.8185 
0.6587 	0.6600 	0.3250 	0.9649 	0.3549 	0.6385 	0.2385 
0.9713 	0.5947 	0.3739 	0.8312 	0.0002 	0.0943 	0.6710 
0.2604 	0.8089 	0.4955 	0.5513 	0.5173 	0.8345 	0.9698 
0.1835 	0.1079 	0.5048 	0.1514 	0.1946 	0.0386 	0.5700 
0.6388 	0.3323 	0.4058 	0.6178 	0.2482 	0.3174 	0.0276 
0.8844 	0.4285 	0.7781 	0.0570 	0.3191 	0.5967 	0.2982 
0.5708 	0.9214 	0.2109 	0.4799 	0.1216 	0.7362 	0.6243 
0.8085 	0.8650 	0.2926 	0.4184 	0.6019 	0.2859 	0.4796 
