0.2848 	0.3748 	0.7528 	0.2797 	0.4775 	0.6213 
0.3977 	0.2677 	0.0725 	0.1667 	0.4397 	0.2337 
0.1902 	0.9846 	0.4636 	0.7033 	0.8050 	0.3772 
0.6640 	0.6931 	0.9712 	0.6095 	0.2619 	0.3143 
0.4139 	0.3262 	0.4487 	0.5758 	0.3559 	0.4058 
0.9061 	0.7819 	0.1777 	0.6622 	0.8858 	0.2640 
0.1209 	0.0606 	0.5177 	0.0291 	0.0663 	0.5491 
0.0465 	0.1610 	0.2739 	0.3514 	0.9168 	0.1663 
0.7539 	0.8666 	0.7314 	0.4506 	0.1939 	0.8781 
0.8600 	0.8433 	0.3031 	0.2068 	0.6796 	0.1281 
0.5357 	0.5489 	0.3585 	0.7806 	0.5362 	0.9941 
0.3228 	0.4220 	0.6075 	0.9773 	0.7142 	0.5593 
0.5508 	0.1350 	0.9314 	0.3377 	0.3358 	0.0338 
0.4642 	0.9030 	0.1203 	0.8108 	0.5552 	0.4877 
0.7081 	0.0010 	0.8064 	0.0559 	0.7587 	0.7829 
0.9783 	0.5857 	0.6533 	0.9043 	0.0305 	0.8312 
0.8265 	0.4600 	0.8666 	0.1221 	0.1251 	0.6727 
0.2220 	0.7052 	0.0397 	0.5201 	0.9653 	0.7219 
0.6365 	0.2201 	0.2173 	0.4426 	0.6083 	0.9302 
0.0625 	0.6058 	0.5964 	0.8550 	0.2195 	0.0801 
