0.3947 	0.3819 	0.0032 
0.6349 	0.1537 	0.0762 
0.5810 	0.8549 	0.3799 
0.8764 	0.2224 	0.1405 
0.4889 	0.1239 	0.2331 
0.5340 	0.9410 	0.1780 
0.8387 	0.0196 	0.2931 
0.7489 	0.3136 	0.6510 
0.6992 	0.4562 	0.4780 
0.1108 	0.5263 	0.8598 
0.2991 	0.9624 	0.3091 
0.1549 	0.7409 	0.7884 
0.7902 	0.6489 	0.7179 
0.3195 	0.7935 	0.5871 
0.4239 	0.0570 	0.9438 
0.0647 	0.5602 	0.4296 
0.0323 	0.6906 	0.6466 
0.9621 	0.2914 	0.8445 
0.2247 	0.4162 	0.5235 
0.9117 	0.8300 	0.9894 
